TV Id,Regulation Start Date,TVS Id,Regulation Id,Protected Location Id,Protected Location (4),Elemental-Integrado,Protected Location Type,ERD-ARR,Regulation Reason Name
LECBG1EV,10/1/2019,LECBFMPW,LEG1EV01,LECBGO1,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBG23,10/1/2019,LECBFMPW,LEG2301,LECBG23,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBPPI,10/1/2019,LECBFMPW,LEPPI01L,LECBPPI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,10/1/2019,LECMFMP,LEMDA01,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
FL6TDU,10/1/2019,LECMFMP1,FL6TDU01,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
GCCCLPA,10/2/2019,GCCCFMP,GCLPA02,GCCCIGC,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,10/2/2019,LEBLTMA,LEBLA02,LEBL,LEBL,elemental,Aerodrome,ARR,W - Weather
LEBLARR,10/2/2019,LEBLTMA,LEBLA02A,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LECBCCC,10/2/2019,LECBFMPE,LECCC02,LECBCCC,LECB,integrado,Airspace,ERD,W - Weather
LECBMNI,10/2/2019,LECBFMPE,LEMNI02A,LECBMNI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBBAS,10/2/2019,LECBFMPE,LEBAS02A,LECBBAS,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBLVL,10/2/2019,LECBFMPW,LELVL02,LECBLVL,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBGOI,10/2/2019,LECBFMPW,LEGOI02,LECBGOI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBLLI,10/2/2019,LECBFMPW,LELLI02,LECBLLI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECMBLI,10/2/2019,LECMFMP,BLI02E,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
RR2AST,10/2/2019,LECMFMP,RR2AST02,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,10/2/2019,LECMFMP,LEMDA02,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMBLI,10/2/2019,LECMFMP,BLI02M,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMPAU,10/2/2019,LECMFMP,PAU02M,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,10/2/2019,LECMFMP,LEMDA02M,LEMD,LEMD,elemental,Aerodrome,ARR,M - Airspace Management
LECMPAL,10/2/2019,LECMFMP,PAL02A,LECMPAL,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZGZ,10/2/2019,LECMFMP,ZGZ02A,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMDGL,10/2/2019,LECMFMP,DGL02L,LECMDGL,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEPAARR,10/2/2019,LECPFMP,LEPAA02,LEPA/SJ,LEPA,elemental,Zone of Aerodromes,ARR,W - Weather
LEMGARR1,10/2/2019,LECSFMP,LEMGA02A,LEMG,LEMG,elemental,Aerodrome,ARR,C - ATC Capacity
GCCCRE2,10/3/2019,GCCCFMP,CPGCRE03,GCCCRE2,GCCC,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,10/3/2019,LEBLTMA,LEBLA03A,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,10/3/2019,LEBLTMA,LEBLA03N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBCVN,10/3/2019,LECBFMPE,LECVN03L,LECBCVN,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBBKE,10/3/2019,LECBFMPE,LEBKE03L,LECBBKE,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBG1EV,10/3/2019,LECBFMPW,LEG1EV03,LECBGO1,LECB,elemental,Airspace,ERD,C - ATC Capacity
LEMIARR,10/3/2019,LECLTAC,LEMIA03,LEMI,LEMI,elemental,Aerodrome,ARR,P - Special Event
LECLSUE,10/3/2019,LECLTAC,LESUE03M,LECLSUE,LECL,integrado,Airspace,ERD,C - ATC Capacity
LECMBLI,10/3/2019,LECMFMP,BLI03M,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,10/3/2019,LECMFMP,LEMDA03E,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
FL2TLU,10/3/2019,LECMFMP,FL2TLU03,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAN,10/3/2019,LECMFMP,SAN03M,LECMSAN,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZUMX,10/3/2019,LECMFMP,ZUMX03M,LECMZUM,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,10/3/2019,LECMFMP,LEMDA03M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMZLM,10/3/2019,LECMFMP,ZLM03,LECMZLM,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL6PAU,10/3/2019,LECMFMP,FL6PAU03,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL1TLU,10/3/2019,LECMFMP,FL1TLU03,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
RR3NO1,10/3/2019,LECSFMP,RR3NO103,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
RR1MAR,10/3/2019,LECSFMP,RR1MAR03,LECSBA1,LECS,elemental,Airspace,ERD,C - ATC Capacity
LECSMA4C,10/3/2019,LECSFMP,MA4C03M,LECSMA4,LECS,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,10/4/2019,LEBLTMA,LEBLA04,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,10/4/2019,LEBLTMA,LEBLA04N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBCCC,10/4/2019,LECBFMPE,LECCC04,LECBCCC,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBCCC,10/4/2019,LECBFMPE,LECCC04M,LECBCCC,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBMNI,10/4/2019,LECBFMPE,LEMNI04,LECBMNI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBCVN,10/4/2019,LECBFMPE,LEBCVN04,LECBCVN,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBMVS,10/4/2019,LECBFMPE,LCBMVS04,LECBMVS,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBG23,10/4/2019,LECBFMPW,LEG2304,LECBG23,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBPPI,10/4/2019,LECBFMPW,LEBPPI04,LECBPPI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECLSUE,10/4/2019,LECLTAC,LESUE04,LECLSUE,LECL,integrado,Airspace,ERD,C - ATC Capacity
LECMASI,10/4/2019,LECMFMP,ASI04,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,10/4/2019,LECMFMP,LEMDA04,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
RR3ZMI,10/4/2019,LECMFMP,RR3ZMI04,LECMZMI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMBLI,10/4/2019,LECMFMP,BLI04,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,10/4/2019,LECMFMP,LEMDA04A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMASI,10/4/2019,LECMFMP,ASI04A,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMZGZ,10/4/2019,LECMFMP,ZGZ04A,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,10/4/2019,LECMFMP,LEMDA04L,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMBLI,10/4/2019,LECMFMP,BLI04A,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMASI,10/4/2019,LECMFMP,ASI04L,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMBLI,10/4/2019,LECMFMP,BLI04N,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEPAARR,10/4/2019,LECPFMP,LEPAA04,LEPA/SJ,LEPA,elemental,Zone of Aerodromes,ARR,C - ATC Capacity
RR3NO1,10/4/2019,LECSFMP,RR3NO104,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
LECBCCC,10/5/2019,LECBFMPE,LECCC05,LECBCCC,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBMNI,10/5/2019,LECBFMPE,LEMNI05,LECBMNI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBG1EV,10/5/2019,LECBFMPW,LEG1EV05,LECBGO1,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBLVL,10/5/2019,LECBFMPW,LELVL05,LECBLVL,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBG23,10/5/2019,LECBFMPW,LEBG2305,LECBG23,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECLALE,10/5/2019,LECLTAC,LECLAL05,LEAL,LEAL,elemental,Aerodrome,ARR,C - ATC Capacity
FL2ZMU34,10/5/2019,LECMFMP,FL2ZMU05,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMPAU,10/5/2019,LECMFMP,PAU05E,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL2TDU,10/5/2019,LECMFMP,FL2TD05M,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,10/5/2019,LECMFMP,LEMDA05,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMBLI,10/5/2019,LECMFMP,BLI05,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,10/5/2019,LECMFMP,LEMDA05A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMTLU,10/5/2019,LECMFMP,TLU05M,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMTER,10/5/2019,LECMFMP,TER05A,LECMTER,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMPAU,10/5/2019,LECMFMP,PAU05A,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMASI,10/5/2019,LECMFMP,ASI05,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
FL4TLU,10/5/2019,LECMFMP,F4TLU05N,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAN,10/5/2019,LECMFMP,SAN05L,LECMSAN,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECSMA4C,10/5/2019,LECSFMP,MA4C05M,LECSMA4,LECS,elemental,Airspace,ERD,C - ATC Capacity
RR2NO1,10/5/2019,LECSFMP,RR2NO105,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
LECSAPT,10/5/2019,LECSFMP,LECSAP05,LECSAPT,LECS,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,10/6/2019,LEBLTMA,LEBLA06M,LEBL,LEBL,elemental,Aerodrome,ARR,G - Aerodrome Capacity
LEBLARR,10/6/2019,LEBLTMA,LEBLA06A,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBMNU,10/6/2019,LECBFMPE,LEMNU06E,LECBMNU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBBAS,10/6/2019,LECBFMPE,LEBAS06,LECBBAS,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBCCC,10/6/2019,LECBFMPE,LECCC06M,LECBCCC,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBVNI,10/6/2019,LECBFMPE,LEVNI06,LECBVNI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBBAS,10/6/2019,LECBFMPE,LEBAS06A,LECBBAS,LECB,elemental,Airspace,ERD,W - Weather
LECBCCC,10/6/2019,LECBFMPE,LECCC06A,LECBCCC,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBG1EV,10/6/2019,LECBFMPW,LEG1EV06,LECBGO1,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBG23,10/6/2019,LECBFMPW,LEBG2306,LECBG23,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBLLI,10/6/2019,LECBFMPW,LELLI06,LECBLLI,LECB,integrado,Airspace,ERD,C - ATC Capacity
FL2ZMU34,10/6/2019,LECMFMP,FL2ZMU06,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL2TLU,10/6/2019,LECMFMP,FL2TLU06,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL4TLU,10/6/2019,LECMFMP,FL4TLU06,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZML,10/6/2019,LECMFMP,ZML06M,LECMZML,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECPDMX,10/6/2019,LECPFMP,LEDMX06M,LECPMXX,LECP,elemental,Airspace,ERD,C - ATC Capacity
