TV Id,Regulation Start Date,TVS Id,Regulation Id,Protected Location Id,Protected Location (4),Elemental-Integrado,Protected Location Type,ERD-ARR,Regulation Reason Name
LEBLARR,4/5/2019,LEBLTMA,LEBLA05A,LEBL,LEBL,elemental,Aerodrome,ARR,G - Aerodrome Capacity
LEBLARR,4/5/2019,LEBLTMA,LEBLA05N,LEBL,LEBL,elemental,Aerodrome,ARR,W - Weather
LECLSUW,4/5/2019,LECLTAC,LESUW05L,LECLSUW,LECL,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,4/5/2019,LECMFMP,LEMDA05M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMTLLX,4/5/2019,LECMFMP,LETLLX05,LECMTLL,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZUMX,4/5/2019,LECMFMP,ZUMX05M,LECMZUM,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,4/5/2019,LECMFMP,LEMDA05,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMTLU,4/5/2019,LECMFMP,TLU05M,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZGZ,4/5/2019,LECMFMP,ZGZ05,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMDGU,4/5/2019,LECMFMP,DGU05,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMDGL,4/5/2019,LECMFMP,DGL05,LECMDGL,LECM,elemental,Airspace,ERD,C - ATC Capacity
GCXOLVP,4/6/2019,GCCCFMP,GCXLVP06,GCXO,GCXO,elemental,Aerodrome,ARR,W - Weather
GCCCINB,4/6/2019,GCCCFMP,GCINB06,GCCCINB,GCCC,elemental,Airspace,ERD,W - Weather
GCCCRNE,4/6/2019,GCCCFMP,GCRNE06A,GCCCRNE,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,4/6/2019,LEBLTMA,LEBLA06,LEBL,LEBL,elemental,Aerodrome,ARR,W - Weather
LECBLVL,4/6/2019,LECBFMPW,LELVL06M,LECBLVL,LECB,elemental,Airspace,ERD,C - ATC Capacity
FL3TDU,4/6/2019,LECMFMP,FL3TD06L,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMPAU,4/6/2019,LECMFMP,PAU06E,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL2TDU,4/6/2019,LECMFMP,FL2TDU06,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL4TLU,4/6/2019,LECMFMP,FL4TLU06,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,4/6/2019,LECMFMP,LEMDA06M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
FL6TLU,4/6/2019,LECMFMP,FL6TLU06,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,4/6/2019,LECMFMP,LEMDA06A,LEMD,LEMD,elemental,Aerodrome,ARR,W - Weather
FL4TDU,4/6/2019,LECMFMP,FL4TD06,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMPAU,4/6/2019,LECMFMP,PAU06A,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,4/6/2019,LECMFMP,LEMDA06,LEMD,LEMD,elemental,Aerodrome,ARR,W - Weather
LEMDARR,4/6/2019,LECMFMP,LEMDA06L,LEMD,LEMD,elemental,Aerodrome,ARR,W - Weather
LECMSAO,4/6/2019,LECMFMP1,SAO06M,LECMSAO,LECM,elemental,Airspace,ERD,P - Special Event
FL5TDU,4/6/2019,LECMFMP1,FL5TD06A,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAO,4/6/2019,LECMFMP1,SAO06,LECMSAO,LECM,elemental,Airspace,ERD,P - Special Event
LECMSAO,4/6/2019,LECMFMP1,SAO06L,LECMSAO,LECM,elemental,Airspace,ERD,P - Special Event
LEPAARR,4/6/2019,LECPFMP,LEPAA06A,LEPA/SJ,LEPA,elemental,Zone of Aerodromes,ARR,S - ATC Staffing
LECSSEV,4/6/2019,LECSFMP,SEV06,LECSSEV,LECS,integrado,Airspace,ERD,C - ATC Capacity
LECSNO1,4/6/2019,LECSFMP,NO106,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
GCCCRU6,4/7/2019,GCCCFMP,GCRU607L,GCCCRU6,GCCC,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,4/7/2019,LEBLTMA,LEBLA07,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,4/7/2019,LEBLTMA,LEBLA07A,LEBL,LEBL,elemental,Aerodrome,ARR,W - Weather
LEBLT1E1,4/7/2019,LEBLTMA,LEBLT107,LEBLT1E,LEBL,elemental,Airspace,ERD,W - Weather
LEBLARR,4/7/2019,LEBLTMA,LEBLA07L,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEBL12XN,4/7/2019,LEBLTMA,LE12XN07,LEBL12XN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LECBBAS,4/7/2019,LECBFMPE,LEBAS07M,LECBBAS,LECB,elemental,Airspace,ERD,W - Weather
LECBLVU,4/7/2019,LECBFMPW,LELVU07M,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
FL2ZMU34,4/7/2019,LECMFMP,FL2ZMU07,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
RR3AST,4/7/2019,LECMFMP,RR3AST07,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMASU,4/7/2019,LECMFMP,ASO07,LECMASU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMDGU,4/7/2019,LECMFMP,DGU07M,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMASU,4/7/2019,LECMFMP,ASU07,LECMASU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMTLLX,4/7/2019,LECMFMP,TLLX07M,LECMTLL,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL6DGU,4/7/2019,LECMFMP,FL6DGU07,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZGZ,4/7/2019,LECMFMP,ZGZ07A,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMTLU,4/7/2019,LECMFMP,TLU07,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAO,4/7/2019,LECMFMP1,SAO07A,LECMSAO,LECM,elemental,Airspace,ERD,P - Special Event
RR3NO1,4/7/2019,LECSFMP,RR3NO107,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
GCCCOCE,4/8/2019,GCCCFMP,GCOCE08,GCCCOCE,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,4/8/2019,LEBLTMA,LEBLA08,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBVVI,4/8/2019,LECBFMPE,LEVVI08A,LECBVVI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBGOI,4/8/2019,LECBFMPW,LEGOI08,LECBGOI,LECB,integrado,Airspace,ERD,S - ATC Staffing
LECMPAL,4/8/2019,LECMFMP,PAL08E,LECMPAL,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,4/8/2019,LECMFMP,LEMDA08M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
FL4TDU,4/8/2019,LECMFMP,FL4TDU08,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,4/8/2019,LECMFMP,LEMDA08A,LEMD,LEMD,elemental,Aerodrome,ARR,W - Weather
RR3NO1,4/8/2019,LECSFMP,RR3NO108,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
LECSNO1,4/8/2019,LECSFMP,NO108,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,4/9/2019,LEBLTMA,LEBLA09M,LEBL,LEBL,elemental,Aerodrome,ARR,W - Weather
LEBLARR,4/9/2019,LEBLTMA,LEBLA09,LEBL,LEBL,elemental,Aerodrome,ARR,W - Weather
LECBCVN,4/9/2019,LECBFMPE,LECVN09A,LECBCVN,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBGOI,4/9/2019,LECBFMPW,LEGOI09A,LECBGOI,LECB,integrado,Airspace,ERD,S - ATC Staffing
LEMDARR,4/9/2019,LECMFMP,LEMDA09A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEPAARR,4/9/2019,LECPFMP,LEPAA09M,LEPA/SJ,LEPA,elemental,Zone of Aerodromes,ARR,W - Weather
LECSCES,4/9/2019,LECSFMP,CES09,LECSCES,LECS,integrado,Airspace,ERD,S - ATC Staffing
LEBLARR,4/10/2019,LEBLTMA,LEBLA10A,LEBL,LEBL,elemental,Aerodrome,ARR,W - Weather
LECBLGU,4/10/2019,LECBFMPW,LELGU10A,LECBLGU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECMASU,4/10/2019,LECMFMP,ASU10E,LECMASU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMBLI,4/10/2019,LECMFMP,BLI10,LECMBLI,LECM,integrado,Airspace,ERD,S - ATC Staffing
LECMPAU,4/10/2019,LECMFMP,PAU10,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARRW,4/10/2019,LECMFMP,LEMDAW10,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMTZI,4/10/2019,LECMFMP,TZI10M,LECMTZI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMASI,4/10/2019,LECMFMP,ASI10M,LECMASI,LECM,integrado,Airspace,ERD,S - ATC Staffing
FL4TLU,4/10/2019,LECMFMP,FL4TLU10,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMTZI,4/10/2019,LECMFMP,TZI10,LECMTZI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,4/10/2019,LECMFMP,LEMDA10A,LEMD,LEMD,elemental,Aerodrome,ARR,W - Weather
FL4ZMU34,4/10/2019,LECMFMP,FL4ZMU10,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,4/10/2019,LECMFMP,LEMDA10,LEMD,LEMD,elemental,Aerodrome,ARR,W - Weather
LEPAARR,4/10/2019,LECPFMP,LEPAA10,LEPA/SJ,LEPA,elemental,Zone of Aerodromes,ARR,W - Weather
GCCCIGC,4/11/2019,GCCCFMP,GCCIGC11,GCCCIGC,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,4/11/2019,LEBLTMA,LEBLA11,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,4/11/2019,LEBLTMA,LEBLA11N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBGOI,4/11/2019,LECBFMPW,LEGOI11,LECBGOI,LECB,integrado,Airspace,ERD,C - ATC Capacity
RR1BLI,4/11/2019,LECMFMP,RR1BL11E,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
FL1TDU,4/11/2019,LECMFMP,FL1DTU11,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZML,4/11/2019,LECMFMP,ZML11M,LECMZML,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMBLI,4/11/2019,LECMFMP,BLI11E,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMZGZ,4/11/2019,LECMFMP,ZGZ11A,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZGZ,4/11/2019,LECMFMP,ZGZ11,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAO,4/11/2019,LECMFMP1,SAO11M,LECMSAO,LECM,elemental,Airspace,ERD,P - Special Event
LECMSAS,4/11/2019,LECMFMP1,SAS11E,LECMSAS,LECM,elemental,Airspace,ERD,P - Special Event
RR2NO1,4/11/2019,LECSFMP,RR2NO111,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
LEMGARR1,4/11/2019,LECSFMP,LEMGA11,LEMG,LEMG,elemental,Aerodrome,ARR,C - ATC Capacity
GCCCRU6,4/12/2019,GCCCFMP,GCRU612N,GCCCRU6,GCCC,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,4/12/2019,LEBLTMA,LEBLA12M,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,4/12/2019,LEBLTMA,LEBLA12,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,4/12/2019,LEBLTMA,LEBLA12L,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBCCC,4/12/2019,LECBFMPE,LECCC12,LECBCCC,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBMNI,4/12/2019,LECBFMPE,LEMNI12,LECBMNI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBLVL,4/12/2019,LECBFMPW,LELVL12,LECBLVL,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBLVU,4/12/2019,LECBFMPW,LELVU12M,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECLSUE,4/12/2019,LECLTAC,LESUE12,LECLSUE,LECL,integrado,Airspace,ERD,C - ATC Capacity
RR1BLI,4/12/2019,LECMFMP,RR1BLI12,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMBLI,4/12/2019,LECMFMP,BLI12,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMBLI,4/12/2019,LECMFMP,BLI12M,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,4/12/2019,LECMFMP,LEMDA12A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMTZI,4/12/2019,LECMFMP,TZI12,LECMTZI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMDGU,4/12/2019,LECMFMP,DGU12,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAS,4/12/2019,LECMFMP1,SAS12A,LECMSAS,LECM,elemental,Airspace,ERD,P - Special Event
LECMSAO,4/12/2019,LECMFMP1,SAO12,LECMSAO,LECM,elemental,Airspace,ERD,P - Special Event
GCCCRCW,4/13/2019,GCCCFMP,GCRCW13A,GCCCRCW,GCCC,elemental,Airspace,ERD,C - ATC Capacity
GCCCFCW,4/13/2019,GCCCFMP,GCFCW13,GCCCFCW,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,4/13/2019,LEBLTMA,LEBLA13M,LEBL,LEBL,elemental,Aerodrome,ARR,W - Weather
LEBLARR,4/13/2019,LEBLTMA,LEBLA13N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBMNI,4/13/2019,LECBFMPE,LEMNI13M,LECBMNI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBLVL,4/13/2019,LECBFMPW,LELVL13M,LECBLVL,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBLVU,4/13/2019,LECBFMPW,LELVU13A,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECLSUE,4/13/2019,LECLTAC,LECLSU13,LECLSUE,LECL,integrado,Airspace,ERD,C - ATC Capacity
FL9DGU,4/13/2019,LECMFMP,FL9DG13E,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMPAU,4/13/2019,LECMFMP,LEPAU13,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
RR2AST,4/13/2019,LECMFMP,RR2AST13,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
RR3AST,4/13/2019,LECMFMP,RR3AST13,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
FL4TDU,4/13/2019,LECMFMP,FL4TD13U,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMPAU,4/13/2019,LECMFMP,PAU13,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMASUX,4/13/2019,LECMFMP,ASU13,LECMASU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZGZ,4/13/2019,LECMFMP,ZGZ13A,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZLM,4/13/2019,LECMFMP,ZLM13A,LECMZLM,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMPAU,4/13/2019,LECMFMP,PAU13A,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL4TDU,4/13/2019,LECMFMP,F4TDU13A,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMBLI,4/13/2019,LECMFMP,BLI13A,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMSAO,4/13/2019,LECMFMP1,SAO13A,LECMSAO,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAO,4/13/2019,LECMFMP1,SAO13N,LECMSAO,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECSMA4C,4/13/2019,LECSFMP,LECSMA13,LECSMA4,LECS,elemental,Airspace,ERD,C - ATC Capacity
LECSSEV,4/13/2019,LECSFMP,LESEV13M,LECSSEV,LECS,integrado,Airspace,ERD,C - ATC Capacity
LECSNO1,4/13/2019,LECSFMP,LENO113M,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
LECSNO1,4/13/2019,LECSFMP,LENO113A,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
LECSSUR1,4/13/2019,LECSFMP,LESUR113,LECSSUR,LECS,elemental,Airspace,ERD,C - ATC Capacity
LECSAPT,4/13/2019,LECSFMP,LEAPT13A,LECSAPT,LECS,integrado,Airspace,ERD,C - ATC Capacity
LECSCES,4/13/2019,LECSFMP,LECES13A,LECSCES,LECS,integrado,Airspace,ERD,S - ATC Staffing
LEBLARR,4/14/2019,LEBLTMA,LEBLA14A,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LECBVVS,4/14/2019,LECBFMPE,LEVVS14,LECBVVS,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBBKE,4/14/2019,LECBFMPE,LEBKE14,LECBBKE,LECB,integrado,Airspace,ERD,S - ATC Staffing
LECMBLI,4/14/2019,LECMFMP,BLI14,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
FL1TDU,4/14/2019,LECMFMP,FL1TDU14,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
RR4AST,4/14/2019,LECMFMP,RR4AST14,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMPAU,4/14/2019,LECMFMP,LEMPAU14,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,4/14/2019,LECMFMP,LEMDA14,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMTLL,4/14/2019,LECMFMP,TLL14,LECMTLL,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMTLU,4/14/2019,LECMFMP,TLU14M,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAN,4/14/2019,LECMFMP,SAN14,LECMSAN,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMASI,4/14/2019,LECMFMP,ASI14,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,4/14/2019,LECMFMP,LEMDA14A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMZMUX,4/14/2019,LECMFMP,ZMUX14,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZGZ,4/14/2019,LECMFMP,ZGZ14A,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMBLI,4/14/2019,LECMFMP,BLI14A,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,4/14/2019,LECMFMP,LEMDA14L,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEPAARR,4/14/2019,LECPFMP,LEPAA14,LEPA/SJ,LEPA,elemental,Zone of Aerodromes,ARR,W - Weather
GCCCOCE,4/15/2019,GCCCFMP,GCOCE15E,GCCCOCE,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,4/15/2019,LEBLTMA,LEBLA15,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LECBMNI,4/15/2019,LECBFMPE,LEMNI15,LECBMNI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBLVU,4/15/2019,LECBFMPW,LELVU15,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,4/15/2019,LECMFMP,LEMDA15M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
FL9DGU,4/15/2019,LECMFMP,FL9DGU15,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMBLI,4/15/2019,LECMFMP,BLI15,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMDGL,4/15/2019,LECMFMP,DGL15A,LECMDGL,LECM,elemental,Airspace,ERD,W - Weather
LEMDARR,4/15/2019,LECMFMP,LEMDA15A,LEMD,LEMD,elemental,Aerodrome,ARR,W - Weather
LECMDGU,4/15/2019,LECMFMP,DGU15,LECMDGU,LECM,elemental,Airspace,ERD,W - Weather
RR2BLI,4/15/2019,LECMFMP,RR2BLI15,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,4/16/2019,LEBLTMA,LEBLA16L,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBGOI,4/16/2019,LECBFMPW,LEGOI16,LECBGOI,LECB,integrado,Airspace,ERD,C - ATC Capacity
FL4TDU,4/16/2019,LECMFMP,FL4TDU16,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
RR2NO1,4/16/2019,LECSFMP,RR2NO116,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
RR2BA1,4/16/2019,LECSFMP,RR2BA116,LECSBA1,LECS,elemental,Airspace,ERD,C - ATC Capacity
LEMGARR1,4/16/2019,LECSFMP,LEMGA16,LEMG,LEMG,elemental,Aerodrome,ARR,C - ATC Capacity
LECSAPT,4/16/2019,LECSFMP,APT16A,LECSAPT,LECS,integrado,Airspace,ERD,C - ATC Capacity
GCXOLVP,4/17/2019,GCCCFMP,GCLVP17,GCXO,GCXO,elemental,Aerodrome,ARR,W - Weather
GCXOARR,4/17/2019,GCCCFMP,GCXOA17,GCXO,GCXO,elemental,Aerodrome,ARR,W - Weather
LEBLARR,4/17/2019,LEBLTMA,LEBLA17,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,4/17/2019,LEBLTMA,LEBLA17L,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBVVI,4/17/2019,LECBFMPE,LEVVI17,LECBVVI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBCCC,4/17/2019,LECBFMPE,LECCC17M,LECBCCC,LECB,integrado,Airspace,ERD,C - ATC Capacity
FL4LVU,4/17/2019,LECBFMPW,FL4LVU17,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
FL4LVU,4/17/2019,LECBFMPW,FL4LV17A,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
RR3AST,4/17/2019,LECMFMP,RR3AST17,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,4/17/2019,LECMFMP,LEMDA17,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMZLM,4/17/2019,LECMFMP,ZLM17,LECMZLM,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMDGU,4/17/2019,LECMFMP,DGU17,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,4/17/2019,LECMFMP,LEMDA17A,LEMD,LEMD,elemental,Aerodrome,ARR,W - Weather
LECMBLI,4/17/2019,LECMFMP,BLI17L,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMBLI,4/17/2019,LECMFMP,BLI17,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
GCCCOCE,4/18/2019,GCCCFMP,GCOCE18,GCCCOCE,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LEBLDDI1,4/18/2019,LEBLTMA,LEDDI118,LEBLDDI,LEBL,integrado,Airspace,ERD,W - Weather
LEBLARR,4/18/2019,LEBLTMA,LEBLA18,LEBL,LEBL,elemental,Aerodrome,ARR,W - Weather
LEBLARR,4/18/2019,LEBLTMA,LEBLA18L,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBG23,4/18/2019,LECBFMPW,LECBG218,LECBG23,LECB,integrado,Airspace,ERD,W - Weather
LECBGOI,4/18/2019,LECBFMPW,LEBGO18,LECBGOI,LECB,integrado,Airspace,ERD,W - Weather
LECBLGU,4/18/2019,LECBFMPW,LELGU18,LECBLGU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECMASI,4/18/2019,LECMFMP,ASI18M,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,4/18/2019,LECMFMP,LEMDA18M,LEMD,LEMD,elemental,Aerodrome,ARR,W - Weather
LECMTZI,4/18/2019,LECMFMP,TZI18M,LECMTZI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMASI,4/18/2019,LECMFMP,ASI18D,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMSAN,4/18/2019,LECMFMP,SAN18M,LECMSAN,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,4/18/2019,LECMFMP,LEMDA18,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMTLU,4/18/2019,LECMFMP,TLU18,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMBLI,4/18/2019,LECMFMP,BLI18,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
RR3NO1,4/18/2019,LECSFMP,RR3NO118,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,4/19/2019,LEBLTMA,LEBLA19M,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,4/19/2019,LEBLTMA,LEBLA19,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBMNI,4/19/2019,LECBFMPE,LEMNI19,LECBMNI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBPPI,4/19/2019,LECBFMPW,LEPPI19,LECBPPI,LECB,integrado,Airspace,ERD,S - ATC Staffing
FL2TDU,4/19/2019,LECMFMP,FL2TDU19,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
RR2AST,4/19/2019,LECMFMP,RR2AST19,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
RR4AST,4/19/2019,LECMFMP,RR4AST19,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,4/19/2019,LECMFMP,LEMDA19M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMBLI,4/19/2019,LECMFMP,BLI19M,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECMBLI,4/19/2019,LECMFMP,BLI19D,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
FL4TDU,4/19/2019,LECMFMP,FL4TD19,LECMTDU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAN,4/19/2019,LECMFMP,SAN19,LECMSAN,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZGZ,4/19/2019,LECMFMP,ZGZ19A,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
